标题,发表日期,作者,来源链接,关键词,摘要,主题,研究方法,核心问题,新兴议题,分析异常
,,,,,,Dual-process theories of supportive message effectiveness: Distinguishing between cognitive and emotional content dimensions in social support; Mechanisms of message processing: How affect-oriented versus cognition-oriented support differentially influence recipient outcomes; Theoretical refinement of supportive communication constructs: Moving beyond global assessments of message quality to specific content-type effects,quantitative,How do emotion content and cognition content in supportive messages produce distinct effects on recipient well-being through different mediating mechanisms?,是,
,,,,,,Disinformation intervention efficacy and boundary conditions; Corrective information and psychological reactance mitigation; Signal detection theory as a framework for misinformation susceptibility,unknown,"How do corrective information and self-affirmation interventions affect individuals' ability to accurately discriminate between true and false political claims, and what are their gains, limits, and side-effects as assessed through signal detection theory?",是,
,,,,,,Hybrid organizing and organizational resilience; Symbolic communication and representational networks in social media; Dual/multiple goal pursuit in organizations; Discursive construction of hybridity; Social media as a site for resilience enactment,text analysis,"How do organizations pursuing multiple, competing goals use social media communication to symbolically construct hybridity and enact resilience through representational networks?",是,
,,,,,,Workplace communication and organizational behavior; Competence perception and impression management; Help-seeking as communicative action,experimental,How does direct versus indirect help-seeking in the workplace affect observers' perceptions of the help-seeker's competence?,是,
,,,,,,Longitudinal causal inference and reciprocal dynamics in political communication; Methodological validity of cross-lagged panel models for media effects; The spiral relationship between social media engagement and political participation,unknown,"What do cross-lagged panel models actually reveal about the reciprocal causal relationships between social media use, political expression, and political participation over time?",是,
,,,,,,"Platformed violence and networked harassment; Online conspiracy theory communities and collective action; Media representation, childhood innocence, and moral panic; Affective publics and digital vigilantism; Cultural intermediaries and celebrity in digital harassment campaigns",unknown,"How do online conspiracy theory communities mobilize platformed violence against media figures and cultural institutions, as exemplified by the harassment campaign targeting a Danish children's TV show?",是,
,,,,,,Mediatization of organized crime and the construction of criminal personae in digital and legacy media; Memetic stickiness and the viral circulation of gang myths across platform ecologies; The interplay between legacy news framing and user-generated content on TikTok in shaping public perceptions of criminality,mixed methods,"How do gang-related myths and monikers circulate and become entrenched across Swedish legacy news media and TikTok, and what discursive mechanisms contribute to their stickiness?",是,
,,,,,,Digital racism and technology-facilitated violence as extensions of structural racism; Intersectional experiences of activists facing technology-facilitated violence in the Global South; Decolonizing communication and media studies by centering non-Western contexts of digital harm,qualitative,"How do race and ethnicity shape the experiences of technology-facilitated violence among activists in Chocó, Colombia?",是,
,,,,,,Gender performativity and digital violence; Image-based sexual abuse as a mechanism of social control; Digital ethnography of perpetration and toxic masculinity,qualitative,"How do perpetrators of image-based sexual abuse 'do gender' through their acts of non-consensual intimate image creation, sharing, and threats?",是,
,,,,,,Digital affordances and platform governance during state-imposed connectivity disruptions; The social construction of truth and misinformation in information vacuums; Community formation and visibility politics under conditions of mediated censorship,qualitative,"How are affordances of digital platforms reconfigured, and how do communities negotiate truth, visibility, and collective meaning-making during state-imposed Internet shutdowns in Sri Lanka?",是,
