title,publication_date,authors,source,keywords,abstract,themes,method_type,core_question,is_emerging_topic,analysis_error
,,,,,,Theoretical distinctions between emotion and cognition as distinct content dimensions in supportive communication; Mediating mechanisms linking message content features to recipient well-being outcomes; Effective supportive message design and the operationalization of message content constructs,unknown,"How do emotion content and cognition content in supportive messages differentially affect recipients' well-being, and what mediating mechanisms explain these effects?",false,
,,,,,,Disinformation intervention effectiveness and boundary conditions; Signal detection theory as a framework for measuring accuracy in political judgments; Self-affirmation as a psychological mechanism to reduce motivated reasoning,unknown,How do corrective information and self-affirmation interventions affect individuals' ability to accurately discriminate true from false political claims in different geopolitical contexts?,true,
,,,,,,Hybrid organizing and organizational resilience in dual-goal contexts; Symbolic communication and representational networks on social media; Resilience enactment through digital communication practices; Tension management in organizations pursuing competing social-commercial goals,mixed methods,"How do organizations pursuing dual social-commercial goals use social media communication to communicate hybridity, build representational networks, and enact resilience?",true,
,,,,,,Workplace communication and collaboration dynamics; Competence perception and social evaluation in organizational settings; Help-seeking behavior as a communicative act,quantitative,How does seeking help (directly or indirectly) in the workplace affect perceptions of the help-seeker's competence?,true,
,,,,,,Social media effects on political engagement; Longitudinal dynamics of political expression and participation; Methodological critique of causal inference in communication research,quantitative,"What is the longitudinal reciprocal relationship between social media use, political expression, and political participation, and how valid are cross-lagged panel model approaches for establishing causality in this relationship?",false,
,,,,,,Platformed violence and digital harassment; Online conspiracy theory communities and collective action; Media representation and targeted audiences (children's TV); Celebrity and public figure vulnerability in networked spaces; Affective polarization and moral panics in digital culture,unknown,"How do online conspiracy theory communities mobilize to enact platformed violence against cultural institutions and public figures, as exemplified by the harassment campaign targeting a Danish children's TV program?",true,
,,,,,,Genre hybridity and remediation of gang narratives across legacy and social media platforms; Social construction of criminal identities and myth-making through digital discourse; Media stickiness and the persistence of gang-related memetic content in networked publics,mixed methods,"How do gang-related myths and monikers circulate and persist across Swedish legacy news media and TikTok, and what mechanisms of memetic stickiness drive their reproduction?",true,
,,,,,,"Digital racism and technology-facilitated violence against marginalized communities; Intersectionality of race, ethnicity, and digital harm in the Global South; Activist vulnerability and resistance in conflict-affected regions",qualitative,"How does technology-facilitated violence manifest along racial and ethnic lines for activists in Chocó, Colombia, a region in the Global South marked by conflict and marginalization?",true,
,,,,,,Gender performativity and 'doing gender' in digital spaces; Image-based sexual abuse (IBSA) as a form of digital gendered violence; Digital ethnography of perpetrator motivations and behaviors,qualitative,"How do perpetrators of image-based sexual abuse enact and perform gender through their non-consensual taking, creating, sharing, or threatening to share intimate images?",true,
,,,,,,Affordance theory and state-mediated technological control; Digital folklore and collective meaning-making during infrastructure disruption; Visibility politics and community resilience under governmental censorship,qualitative,How do Sri Lankan communities construct shared understandings and folk narratives around platform affordances and visibility during government-imposed Internet shutdowns?,true,
,,,,,,Transnational digital hostility and participatory warfare; Construction and deconstruction of research expertise in conflict settings; Offline-online violence interlinkages in contested urban spaces,qualitative,"How is academic 'expertise' constructed and contested through transnational digital hostility and participatory warfare in the context of offline and online violence in Somalia/Somaliland, particularly Las Anod?",true,
,,,,,,Platform governance and content moderation inconsistencies; Androcentric hegemony and gendered power dynamics on live-streaming platforms; Marginalized community vulnerability and algorithmic/human enforcement failures,unknown,How do Twitch's Terms of Service and Community Guidelines fail to protect marginalized streamers due to androcentric hegemony embedded in platform governance?,true,
,,,,,,"Mediatized terrorism and self-documentation: the shift from external media coverage to perpetrators' own documentation of violent acts, transforming the nature of terrorist communication; Platform governance and moral responsibility of decentralized media: how decentralized platforms challenge existing content moderation frameworks designed for centralized platforms; Witnessing ethics and the spectacle of violence in digital spaces: the moral implications of bearing witness to documented atrocities and how self-documented terrorism reconfigures the relationship between perpetrator, platform, and audience",unknown,"How does self-documented terrorism (exemplified by the October 7, 2023 Hamas attack) erode established moral frameworks through decentralized digital platforms, and what challenges does this pose for platform governance?",true,
,,,,,,Memetic misogyny and gender-based hate in digital culture; Role of contextual factors in visual meaning-making; Polysemy and implicit visual communication in online misogyny; Feminist approaches to ephemeral hate speech in multiplatform environments,unknown,"How do contextual factors across multiple platforms shape the production, circulation, and interpretation of memetic misogyny as a form of implicit, polysemous, and ephemeral visual gender-based hate?",true,
,,,,,,Platform governance and content moderation; Historical memory and political violence; Normative dislocation as theoretical framework; Democratic backsliding in digital public spheres; Global South and postcolonial platform studies,mixed methods,"How does platform moderation fail to account for local histories of political violence, and what is the concept of normative dislocation that explains this failure? Specifically, how did platform moderation during Brazil's 2022 presidential elections neglect local historical contexts of political vi",true,
,,,,,,Journalistic discourse and agenda-setting in relation to tech industry framing; Critical political economy of Big Tech and labor precarity; Sociotechnical imaginaries of AI inevitability versus industry vulnerability,unknown,"How did journalistic discourse frame the 2023-2024 tech industry mass layoffs and what does this reveal about the shifting relationship between Big Tech, the press, and narratives of artificial intelligence?",true,
,,,,,,Mediated visibility and visual paradox in digital environments; Disability and sensory politics in platform-based communication; Media practices and self-representation of marginalized groups on short-video platforms,qualitative,How do blind vloggers on short-video platforms navigate the visual paradox of mediated visibility in a visually dominant communication environment?,true,
,,,,,,Social identity & representation in algorithmic media; Gender bias in emerging AI-based cultural technologies; Platform-level variation in algorithmic stereotyping,unknown,"To what extent do popular text-to-image generative AI platforms (DALL·E, Midjourney, and Stable Diffusion) underrepresent women and reproduce gender-stereotypical portrayals across different time points?",true,
,,,,,,Neoliberal feminism and digital self-actualization; Intersectionality as performative allyship on social media; Platform capitalism and discursive alignment with feminist activism,unknown,How do popular intersectional allyship discourses within digital feminism reproduce neoliberal logics of self-actualization that are congruent with the political economy of capitalist social media platforms?,true,
